2022-08-11 22:12:05 DEBUG (logs.java:12) pongo aqui este mensaje para los logs
2022-08-11 22:12:05 ERROR (logs.java:13) pongo aqui este mensaje para los logs
2022-08-11 22:12:05 INFO  (logs.java:14) pongo aqui este mensaje para los logs
2022-08-11 22:26:24 DEBUG (logs.java:12) pongo aqui este mensaje para los logs
2022-08-11 22:26:24 ERROR (logs.java:13) pongo aqui este mensaje para los logs
2022-08-11 22:26:24 INFO  (logs.java:14) pongo aqui este mensaje para los logs
2022-08-15 05:19:59 DEBUG (Ventana.java:258) Se genera todos los paneles, Botones y titulos de la aplicacion
2022-08-15 05:19:59 DEBUG (Ventana.java:284) Se genero toda la interfaz grafica
2022-08-15 05:20:04 DEBUG (Ventana.java:289) Comienza el metodo y se empieza a grabar el tiempo
2022-08-15 05:20:04 INFO  (Ventana.java:290) Se asigna la cantidad maxima en el arreglo
2022-08-15 05:20:04 DEBUG (Ventana.java:297) se obtiene la cantidad de numeros a realizar
2022-08-15 05:20:04 DEBUG (Ventana.java:309) se obtiene la cantidad de numeros a realizar definitiva
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
2022-08-15 05:20:04 DEBUG (Ventana.java:312) Se empieza a rellenar el arreglo de numeros generados aleatoriamente
